stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone
759516,"218","W T Weaver Blvd at King St","",35.614186,-82.558517,0,,0,,
759444,"107","Bingham Rd at Emma Rd","",35.598081,-82.582624,0,,0,,
759445,"108","Emma Rd at Emma Hill Dr","",35.596907,-82.586941,0,,0,,
759437,"100","N Louisiana Ave at Emma Rd","",35.596078,-82.591535,0,,0,,
759498,"162","N Louisiana Ave at Hazel Mill Rd","",35.591851,-82.592856,0,,0,,
759497,"161","N Louisiana Ave at Patton Ave","",35.587794,-82.592458,0,,0,,
759893,"787","College St at Patton Ave","Pritchard Park",35.594652,-82.554794,0,,0,,
760070,"973","College St at Haywood St","",35.595256,-82.553626,0,,0,,
759546,"248","Broadway St at College St","",35.595628,-82.552009,0,,0,,
759545,"247","Broadway St at Walnut St","",35.596692,-82.55232,0,,0,,
759544,"246","Broadway St at Woodfin St","",35.598318,-82.553125,0,,0,,
759543,"245","Merrimon Ave at Greenlife Grocery","",35.601634,-82.553493,0,,0,,
759542,"244","Merrimon Ave at E Chestnut St","",35.603411,-82.553275,0,,0,,
759541,"243","Merrimon Ave at Hillside St","",35.607489,-82.553874,0,,0,,
759540,"242","Merrimon Ave at Spears Ave","",35.610086,-82.554749,0,,0,,
759539,"241","Merrimon Ave at Coleman Ave","",35.612863,-82.555234,0,,0,,
759499,"200","ART Station","",35.5928145433062,-82.555697317791,,,0,,
759766,"660","Forest Hill Dr at Thurland Ave","",35.577528,-82.54542,0,,0,,
759765,"659","Forest Hill Dr at Sherwood Rd","",35.578062,-82.547534,0,,0,,
759712,"606","Biltmore Ave at Hospital Dr","",35.579564,-82.550311,0,,0,,
759711,"605","Biltmore Ave at Choctaw St","",35.582363,-82.551358,0,,0,,
759710,"604","Biltmore Ave at Short Coxe Ave","",35.58659,-82.551879,0,,0,,
759709,"603","Biltmore Ave at Southside Ave","",35.588556,-82.551798,0,,0,,
759708,"602","Biltmore Ave at Hilliard Ave","",35.590992,-82.55106,0,,0,,
759707,"601","Hilliard Ave at Lexington Ave","",35.591188,-82.551993,0,,0,,
759706,"600","Hilliard Ave at Asheland Ave","",35.5909661309661,-82.5544550598412,,,0,,
759901,"800","Hilliard Ave at Grove St","",35.591254,-82.557701,0,,0,,
760139,"163","Asheland Ave at Patton Ave","",35.5940629113739,-82.5562219429035,,,0,,
759772,"666","Kenilworth Rd at Kirkman Rd","",35.58661,-82.536179,0,,0,,
759515,"217","W T Weaver Blvd at Barnard St","",35.614119,-82.561419,0,,0,,
759514,"216","University Hts at Zeis Hall","",35.615976,-82.564689,0,,0,,
759513,"215","University Hts at Governors Hall","",35.615666,-82.567593,0,,0,,
759512,"214","University Hts at Sherrill Center","",35.618249,-82.566801,0,,0,,
759511,"213","University Hts at Edgewood Rd","",35.618074,-82.563665,0,,0,,
759510,"212","W T Weaver Blvd at Barnard St","",35.614271,-82.561332,0,,0,,
759509,"211","W T Weaver Blvd at King St","",35.614251,-82.558711,0,,0,,
759508,"210","W T Weaver Blvd at Merrimon Ave","",35.615379,-82.555128,0,,0,,
