aggregation,city_bounded,city_name,formatted_value,id,route_id,route_type,sample_period,type,value,version
route,False,Chicago,1.0,1374,112,0,alltime,num_routes,0.999996693121693,4dd05d5e-b859-4b04-bbfb-4b3bac872151
route,False,Chicago,1.0,1375,72,0,alltime,num_routes,0.999996693121693,4dd05d5e-b859-4b04-bbfb-4b3bac872151
route,False,Chicago,0.94,1376,10,0,alltime,num_routes,0.940472883597884,4dd05d5e-b859-4b04-bbfb-4b3bac872151
route,False,Chicago,1.0,1377,59,0,alltime,num_routes,0.999996693121693,4dd05d5e-b859-4b04-bbfb-4b3bac872151
route,False,Chicago,1.0,1378,87,0,alltime,num_routes,0.999996693121693,4dd05d5e-b859-4b04-bbfb-4b3bac872151
route,False,Chicago,0.6,1379,48,0,alltime,num_routes,0.595238095238095,4dd05d5e-b859-4b04-bbfb-4b3bac872151
route,False,Chicago,1.0,1380,21,0,alltime,num_routes,0.999996693121693,4dd05d5e-b859-4b04-bbfb-4b3bac872151
route,False,Chicago,1.0,1381,76,0,alltime,num_routes,0.999996693121693,4dd05d5e-b859-4b04-bbfb-4b3bac872151
route,False,Chicago,1.0,1382,85A,0,alltime,num_routes,0.999996693121693,4dd05d5e-b859-4b04-bbfb-4b3bac872151
route,False,Chicago,1.0,1293,130,0,weekend,num_routes,1.0,4dd05d5e-b859-4b04-bbfb-4b3bac872151
route,False,Chicago,1.0,1383,54,0,alltime,num_routes,0.999996693121693,4dd05d5e-b859-4b04-bbfb-4b3bac872151
route,False,Chicago,1.0,1384,43,0,alltime,num_routes,0.999996693121693,4dd05d5e-b859-4b04-bbfb-4b3bac872151
route,False,Chicago,0.6,1385,148,0,alltime,num_routes,0.595238095238095,4dd05d5e-b859-4b04-bbfb-4b3bac872151
route,False,Chicago,1.0,1386,49B,0,alltime,num_routes,0.999996693121693,4dd05d5e-b859-4b04-bbfb-4b3bac872151
route,False,Chicago,1.0,1387,65,0,alltime,num_routes,0.999996693121693,4dd05d5e-b859-4b04-bbfb-4b3bac872151
route,False,Chicago,1.0,1388,71,0,alltime,num_routes,0.999996693121693,4dd05d5e-b859-4b04-bbfb-4b3bac872151
route,False,Chicago,1.0,1389,57,0,alltime,num_routes,0.999996693121693,4dd05d5e-b859-4b04-bbfb-4b3bac872151
route,False,Chicago,0.65,1390,108,0,alltime,num_routes,0.654761904761905,4dd05d5e-b859-4b04-bbfb-4b3bac872151
route,False,Chicago,1.0,1391,80,0,alltime,num_routes,0.999996693121693,4dd05d5e-b859-4b04-bbfb-4b3bac872151
route,False,Chicago,1.0,1392,106,0,alltime,num_routes,0.999996693121693,4dd05d5e-b859-4b04-bbfb-4b3bac872151
route,False,Chicago,1.0,1393,62H,0,alltime,num_routes,0.999996693121693,4dd05d5e-b859-4b04-bbfb-4b3bac872151
route,False,Chicago,1.0,1394,G,0,alltime,num_routes,0.999996693121693,4dd05d5e-b859-4b04-bbfb-4b3bac872151
