route_id,service_id,trip_id,trip_headsign,block_id,trip_short_name,shape_id,direction_id
PAO,S1,PAO_564_V5,Center City Philadelphia,564,564,PAOI_IB_2,0
PAO,S2,PAO_566_V67,Center City Philadelphia,566,566,PAOI_IB_1,0
PAO,S3,PAO_566_V77,Center City Philadelphia,566,566,PAOI_IB_2,0
PAO,S1,PAO_568_V4,Center City Philadelphia,568,568,PAOI_IB_2,0
PAO,S2,PAO_568_V66,Center City Philadelphia,568,568,PAOI_IB_2,0
PAO,S3,PAO_568_V7,Center City Philadelphia,568,568,PAOI_IB_2,0
PAO,S1,PAO_570_V5,Center City Philadelphia,570,570,PAOI_IB_1,0
PAO,S2,PAO_570_V66,Center City Philadelphia,570,570,PAOI_IB_1,0
PAO,S3,PAO_570_V77,Center City Philadelphia,570,570,PAOI_IB_2,0
PAO,S1,PAO_5712_V5,Center City Philadelphia,5712,5712,PAOI_IB_4,0
PAO,S2,PAO_572_V66,Center City Philadelphia,572,572,PAOI_IB_2,0
PAO,S3,PAO_572_V77,Center City Philadelphia,572,572,PAOI_IB_2,0
PAO,S1,PAO_574_V5,Center City Philadelphia,574,574,PAOI_IB_2,0
PAO,S2,PAO_574_V66,Center City Philadelphia,574,574,PAOI_IB_1,0
PAO,S3,PAO_574_V77,Center City Philadelphia,574,574,PAOI_IB_2,0
PAO,S2,PAO_576_V66,Center City Philadelphia,576,576,PAOI_IB_2,0
PAO,S3,PAO_576_V77,Center City Philadelphia,576,576,PAOI_IB_2,0
PAO,S1,PAO_578_V5,Center City Philadelphia,578,578,PAOI_IB_1,0
PAO,S1,PAO_580_V5,Center City Philadelphia,580,580,PAOI_IB_1,0
PAO,S1,PAO_582_V5,Center City Philadelphia,582,582,PAOI_IB_2,0
PAO,S1,PAO_584_V5,Center City Philadelphia,584,584,PAOI_IB_1,0
PAO,S1,PAO_586_V5,Center City Philadelphia,586,586,PAOI_IB_2,0
PAO,S1,PAO_588_V5,Center City Philadelphia,588,588,PAOI_IB_2,0
PAO,S1,PAO_592_V55,Center City Philadelphia,592,592,PAOI_IB_1,0
PAO,S1,PAO_594_V5,Center City Philadelphia,594,594,PAOI_IB_1,0
PAO,S1,PAO_596_V5,Center City Philadelphia,596,596,PAOI_IB_1,0
PAO,S1,PAO_598_V51,Center City Philadelphia,598,598,PAOI_IB_1,0
WIL,S1,WIL_1256_V5,Center City Philadelphia,1256,1256,R2SG_IB_1,0
WIL,S1,WIL_2720_V55,Center City Philadelphia,2720,2720,R2SG_IB_1,0
WIL,S1,WIL_9212_V5,Center City Philadelphia,9212,9212,R2SG_IB_1,0
WIL,S1,WIL_9214_V5,Center City Philadelphia,9214,9214,R2SG_IB_1,0
WIL,S1,WIL_9216_V55,Center City Philadelphia,9216,9216,R2SG_IB_1,0
WIL,S1,WIL_9218_V55,Center City Philadelphia,9218,9218,R2SG_IB_1,0
WIL,S1,WIL_9222_V55,Center City Philadelphia,9222,9222,R2SG_IB_1,0
WIL,S1,WIL_9230_V5,Center City Philadelphia,9230,9230,R2SG_IB_1,0
WIL,S1,WIL_9234_V5,Center City Philadelphia,9234,9234,R2SG_IB_1,0
WIL,S1,WIL_9236_V5,Center City Philadelphia,9236,9236,R2SG_IB_1,0
WIL,S2,WIL_9236_V6,Center City Philadelphia,9236,9236,R2SG_IB_1,0
WIL,S1,WIL_9238_V5,Center City Philadelphia,9238,9238,R2SG_IB_1,0
WIL,S1,WIL_9242_V5,Center City Philadelphia,9242,9242,R2SG_IB_1,0
WIL,S1,WIL_9254_V5,Center City Philadelphia,9254,9254,R2SG_IB_1,0
WIL,S1,WIL_9260_V55,Center City Philadelphia,9260,9260,R2SG_IB_1,0
WIL,S1,WIL_9264_V5,Center City Philadelphia,9264,9264,R2SG_IB_1,0
WIL,S1,WIL_9266_V5,Center City Philadelphia,9266,9266,R2SG_IB_1,0
WIL,S1,WIL_9268_V5,Center City Philadelphia,9268,9268,R2SG_IB_1,0
WIL,S1,WIL_9294_V5,Center City Philadelphia,9294,9294,R2SG_IB_1,0
WIL,S1,WIL_1203_V5,Newark,1203,1203,R2SG_OB_5,1
WIL,S1,WIL_1293_V5,Wilmington,1293,1293,R2SG_OB_3,1
WIL,S1,WIL_1295_V5,Newark,1295,1295,R2SG_OB_5,1
WIL,S2,WIL_205_V6,Wilmington,205,205,R2SG_OB_4,1
WIL,S3,WIL_205_V7,Wilmington,205,205,R2SG_OB_4,1
WIL,S1,WIL_207_V5,Newark,207,207,R2SG_OB_4,1
WIL,S2,WIL_207_V6,Marcus Hook,207,207,R2SG_OB_4,1
WIL,S3,WIL_207_V7,Marcus Hook,207,207,R2SG_OB_4,1
WIL,S2,WIL_209_V6,Wilmington,209,209,R2SG_OB_4,1
WIL,S3,WIL_209_V7,Claymont,209,209,R2SG_OB_4,1
WIL,S2,WIL_211_V6,Marcus Hook,211,211,R2SG_OB_4,1
WIL,S3,WIL_211_V7,Marcus Hook,211,211,R2SG_OB_4,1
WIL,S2,WIL_213_V6,Wilmington,213,213,R2SG_OB_4,1
WIL,S3,WIL_213_V7,Wilmington,213,213,R2SG_OB_4,1
WIL,S2,WIL_215_V6,Marcus Hook,215,215,R2SG_OB_4,1
WIL,S3,WIL_215_V7,Marcus Hook,215,215,R2SG_OB_4,1
WIL,S2,WIL_217_V6,Wilmington,217,217,R2SG_OB_4,1
WIL,S3,WIL_217_V7,Wilmington,217,217,R2SG_OB_4,1
WIL,S2,WIL_219_V6,Marcus Hook,219,219,R2SG_OB_4,1
WIL,S3,WIL_219_V7,Marcus Hook,219,219,R2SG_OB_4,1
WIL,S2,WIL_221_V6,Wilmington,221,221,R2SG_OB_4,1
WIL,S3,WIL_221_V7,Wilmington,221,221,R2SG_OB_4,1
WIL,S2,WIL_223_V6,Marcus Hook,223,223,R2SG_OB_4,1
WIL,S3,WIL_223_V7,Marcus Hook,223,223,R2SG_OB_4,1
WIL,S2,WIL_225_V6,Wilmington,225,225,R2SG_OB_4,1
WIL,S3,WIL_225_V7,Wilmington,225,225,R2SG_OB_4,1
WIL,S2,WIL_227_V6,Marcus Hook,227,227,R2SG_OB_4,1
WIL,S3,WIL_227_V7,Marcus Hook,227,227,R2SG_OB_4,1
WIL,S2,WIL_229_V6,Wilmington,229,229,R2SG_OB_4,1
WIL,S3,WIL_229_V7,Wilmington,229,229,R2SG_OB_4,1
WIL,S2,WIL_231_V6,Marcus Hook,231,231,R2SG_OB_4,1
WIL,S3,WIL_231_V7,Marcus Hook,231,231,R2SG_OB_4,1
WIL,S2,WIL_235_V6,Marcus Hook,235,235,R2SG_OB_4,1
WIL,S1,WIL_273_V5,Marcus Hook,273,273,R2SG_OB_4,1
WIL,S1,WIL_275_V5,Wilmington,275,275,R2SG_OB_4,1
WIL,S1,WIL_277_V5,Marcus Hook,277,277,R2SG_OB_4,1
WIL,S1,WIL_279_V5,Marcus Hook,279,279,R2SG_OB_4,1
WIL,S1,WIL_3223_V55,Wilmington,3223,3223,R2SG_OB_3,1
WIL,S1,WIL_4211_V55,Marcus Hook,4211,4211,R2SG_OB_1,1
WIL,S1,WIL_4213_V55,Newark,4213,4213,R2SG_OB_1,1
WIL,S1,WIL_4215_V55,Marcus Hook,4215,4215,R2SG_OB_1,1
WIL,S1,WIL_4249_V5,Claymont,4249,4249,R2SG_OB_3,1
WIL,S1,WIL_4269_V5,Wilmington,4269,4269,R2SG_OB_1,1
WIL,S1,WIL_5253_V5,Marcus Hook,5253,5253,R2SG_OB_2,1
WIL,S1,WIL_7241_V5,Newark,7241,7241,R2SG_OB_5,1
WIL,S1,WIL_8265_V55,Newark,8265,8265,R2SG_OB_5,1
WIL,S2,WIL_9201_V6,Marcus Hook,9201,9201,R2SG_OB_5,1
WIL,S2,WIL_9203_V6,Marcus Hook,9203,9203,R2SG_OB_5,1
WIL,S1,WIL_9227_V5,Marcus Hook,9227,9227,R2SG_OB_5,1
WIL,S1,WIL_9229_V5,Wilmington,9229,9229,R2SG_OB_5,1
WIL,S1,WIL_9231_V55,Marcus Hook,9231,9231,R2SG_OB_5,1
WIL,S1,WIL_9235_V55,Wilmington,9235,9235,R2SG_OB_5,1
WIL,S1,WIL_9237_V55,Marcus Hook,9237,9237,R2SG_OB_5,1
WIL,S1,WIL_9243_V5,Newark,9243,9243,R2SG_OB_5,1
WIL,S1,WIL_9245_V4,Wilmington,9245,9245,R2SG_OB_5,1
WIL,S1,WIL_9251_V55,Newark,9251,9251,R2SG_OB_5,1
WIL,S1,WIL_9257_V5,Newark,9257,9257,R2SG_OB_5,1
WIL,S1,WIL_9261_V55,Marcus Hook,9261,9261,R2SG_OB_5,1
WTR,S1,WTR_2372_V5,West Trenton,2372,2372,R3NG_IB_2,0
WTR,S1,WTR_326_V5,West Trenton,326,326,R3NG_IB_3,0
WTR,S1,WTR_328_V5,West Trenton,328,328,R3NG_IB_3,0
WTR,S1,WTR_330_V5,West Trenton,330,330,R3NG_IB_3,0
WTR,S1,WTR_338_V5,West Trenton,338,338,R3NG_IB_3,0
WTR,S1,WTR_376_V5,West Trenton,376,376,R3NG_IB_3,0
WTR,S1,WTR_380_V55,West Trenton,380,380,R3NG_IB_3,0
WTR,S1,WTR_384_V5,West Trenton,384,384,R3NG_IB_3,0
WTR,S1,WTR_386_V5,West Trenton,386,386,R3NG_IB_3,0
WTR,S1,WTR_388_V5,West Trenton,388,388,R3NG_IB_3,0
WTR,S1,WTR_390_V5,West Trenton,390,390,R3NG_IB_3,0
WTR,S1,WTR_392_V5,West Trenton,392,392,R3NG_IB_3,0
WTR,S1,WTR_394_V5,West Trenton,394,394,R3NG_IB_3,0
WTR,S1,WTR_396_V5,West Trenton,396,396,R3NG_IB_3,0
WTR,S1,WTR_398_V5,West Trenton,398,398,R3NG_IB_3,0
WTR,S2,WTR_4304_V6,West Trenton,4304,4304,R3NG_IB_4,0
WTR,S3,WTR_4304_V7,West Trenton,4304,4304,R3NG_IB_4,0
WTR,S2,WTR_4308_V6,West Trenton,4308,4308,R3NG_IB_4,0
WTR,S3,WTR_4308_V7,West Trenton,4308,4308,R3NG_IB_4,0
WTR,S2,WTR_4312_V6,West Trenton,4312,4312,R3NG_IB_4,0
WTR,S3,WTR_4312_V7,West Trenton,4312,4312,R3NG_IB_4,0
WTR,S2,WTR_4316_V6,West Trenton,4316,4316,R3NG_IB_4,0
WTR,S3,WTR_4316_V7,West Trenton,4316,4316,R3NG_IB_4,0
WTR,S2,WTR_4320_V6,West Trenton,4320,4320,R3NG_IB_4,0
WTR,S3,WTR_4320_V7,West Trenton,4320,4320,R3NG_IB_4,0
WTR,S2,WTR_4324_V6,West Trenton,4324,4324,R3NG_IB_4,0
WTR,S3,WTR_4324_V7,West Trenton,4324,4324,R3NG_IB_4,0
WTR,S2,WTR_4328_V6,West Trenton,4328,4328,R3NG_IB_4,0
WTR,S3,WTR_4328_V7,West Trenton,4328,4328,R3NG_IB_4,0
WTR,S2,WTR_4332_V6,West Trenton,4332,4332,R3NG_IB_4,0
WTR,S3,WTR_4332_V7,West Trenton,4332,4332,R3NG_IB_4,0
WTR,S2,WTR_4336_V6,West Trenton,4336,4336,R3NG_IB_4,0
WTR,S3,WTR_4336_V7,West Trenton,4336,4336,R3NG_IB_4,0
WTR,S2,WTR_4340_V6,West Trenton,4340,4340,R3NG_IB_4,0
WTR,S3,WTR_4340_V7,West Trenton,4340,4340,R3NG_IB_4,0
WTR,S2,WTR_4344_V6,West Trenton,4344,4344,R3NG_IB_4,0
WTR,S3,WTR_4344_V7,West Trenton,4344,4344,R3NG_IB_4,0
WTR,S1,WTR_4346_V55,West Trenton,4346,4346,R3NG_IB_4,0
WTR,S1,WTR_4348_V55,West Trenton,4348,4348,R3NG_IB_4,0
WTR,S2,WTR_4348_V6,West Trenton,4348,4348,R3NG_IB_4,0
WTR,S3,WTR_4348_V7,West Trenton,4348,4348,R3NG_IB_4,0
WTR,S1,WTR_4350_V55,West Trenton,4350,4350,R3NG_IB_4,0
WTR,S1,WTR_4352_V55,West Trenton,4352,4352,R3NG_IB_4,0
WTR,S2,WTR_4352_V6,West Trenton,4352,4352,R3NG_IB_4,0
WTR,S3,WTR_4352_V7,West Trenton,4352,4352,R3NG_IB_4,0
WTR,S1,WTR_4354_V55,West Trenton,4354,4354,R3NG_IB_4,0
WTR,S1,WTR_4356_V55,West Trenton,4356,4356,R3NG_IB_4,0
WTR,S2,WTR_4356_V6,West Trenton,4356,4356,R3NG_IB_4,0
WTR,S3,WTR_4356_V7,West Trenton,4356,4356,R3NG_IB_4,0
WTR,S2,WTR_4360_V6,West Trenton,4360,4360,R3NG_IB_4,0
WTR,S3,WTR_4360_V7,West Trenton,4360,4360,R3NG_IB_4,0
WTR,S2,WTR_4364_V6,West Trenton,4364,4364,R3NG_IB_4,0
